
not attentive	2022-05-26 23:50:49.785756
not attentive	2022-05-26 23:53:22.597068
not attentive	2022-05-26 23:53:33.101825
not attentive	2022-05-26 23:53:38.581842
not attentive	2022-05-26 23:53:41.749976
attentive	2022-05-26 23:53:55.495779
not attentive	2022-05-26 23:53:59.120981
attentive	2022-05-26 23:54:02.635081
attentive	2022-05-26 23:54:06.458829
not attentive	2022-05-26 23:54:09.895624
not attentive	2022-05-26 23:54:14.000449
attentive	2022-05-26 23:54:17.600024
attentive	2022-05-26 23:54:23.857685
attentive	2022-05-26 23:54:27.365279
attentive	2022-05-26 23:54:33.148796
attentive	2022-05-26 23:54:36.545610
attentive	2022-05-26 23:54:42.781656
not attentive	2022-05-26 23:54:47.506076
not attentive	2022-05-26 23:54:51.045904
not attentive	2022-05-26 23:54:56.686115
not attentive	2022-05-26 23:54:59.725263
not attentive	2022-05-26 23:55:03.242399
attentive	2022-05-26 23:55:06.218635
attentive	2022-05-26 23:55:09.531874
attentive	2022-05-26 23:55:15.114406
attentive	2022-05-26 23:55:21.607013
attentive	2022-05-26 23:55:24.923069
not attentive	2022-05-26 23:55:36.671011
not attentive	2022-05-26 23:55:40.122695
attentive	2022-05-26 23:55:43.446516
attentive	2022-05-26 23:55:46.742962
not attentive	2022-05-26 23:55:50.218267
not attentive	2022-05-26 23:55:55.671443
not attentive	2022-05-26 23:56:16.180064
not attentive	2022-05-26 23:56:20.037629
attentive	2022-05-26 23:56:23.347495
not attentive	2022-05-26 23:56:26.634353
not attentive	2022-05-26 23:56:37.463819
attentive	2022-05-26 23:56:40.891209
attentive	2022-05-26 23:56:44.356835
not attentive	2022-05-26 23:56:48.000286
not attentive	2022-05-26 23:56:51.480052
not attentive	2022-05-26 23:56:54.824147
not attentive	2022-05-26 23:56:58.235089
attentive	2022-05-26 23:57:01.702649
not attentive	2022-05-26 23:57:07.705674
not attentive	2022-05-26 23:57:11.092226
not attentive	2022-05-26 23:57:14.552219
attentive	2022-05-26 23:57:17.887438
not attentive	2022-05-26 23:57:21.210698
attentive	2022-05-26 23:57:24.525025
not attentive	2022-05-26 23:57:27.872583
